"filename", "language", "TypeScript", "TypeScript JSX", "Gradle", "Java Properties", "JSON with Comments", "XML", "Batch", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/build.gradle", "Gradle", 0, 0, 92, 0, 0, 0, 0, 0, 0, 68, 23, 183
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/debugOptimized/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 3, 8
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 32
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 23, 3, 38
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/values-night/colors.xml", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"/Users/gajanan/Documents/Indense/scraps/mobile/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
"/Users/gajanan/Documents/Indense/scraps/mobile/android/build.gradle", "Gradle", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/gajanan/Documents/Indense/scraps/mobile/android/gradle.properties", "Java Properties", 0, 0, 0, 14, 0, 0, 0, 0, 0, 37, 15, 66
"/Users/gajanan/Documents/Indense/scraps/mobile/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/gajanan/Documents/Indense/scraps/mobile/android/gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 41, 0, 0, 32, 22, 95
"/Users/gajanan/Documents/Indense/scraps/mobile/android/settings.gradle", "Gradle", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"/Users/gajanan/Documents/Indense/scraps/mobile/app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 50
"/Users/gajanan/Documents/Indense/scraps/mobile/app/(auth)/_layout.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/gajanan/Documents/Indense/scraps/mobile/app/(auth)/forgot-password.tsx", "TypeScript JSX", 0, 519, 0, 0, 0, 0, 0, 0, 0, 8, 43, 570
"/Users/gajanan/Documents/Indense/scraps/mobile/app/(auth)/login.tsx", "TypeScript JSX", 0, 348, 0, 0, 0, 0, 0, 0, 0, 4, 28, 380
